"job_url","title","company","location","date_posted","description","id"
"https://www.glassdoor.co.in/job-listing/j?jl=1009553631407","Trainee Software Engineer","Peerbits Solution Pvt Ltd","India","2024-12-05","",1
"https://www.glassdoor.co.in/job-listing/j?jl=1009553616705","Java Software Engineer","Incede Technologies Private Limited","Calicut","2024-12-05","",2
"https://www.glassdoor.co.in/job-listing/j?jl=1009554071867","Associate Software Engineer","NextBridge Solutions","Pune","2024-12-05","",3
"https://www.glassdoor.co.in/job-listing/j?jl=1009553922177","Software Engineer (Java)","miniOrange","India","2024-12-05","",4
"https://www.glassdoor.co.in/job-listing/j?jl=1009554014395","Associate Software Engineer","Lowe's","Bengaluru","2024-12-05","",5
"https://www.glassdoor.co.in/job-listing/j?jl=1009553923963","Software Engineer II : Automation Engineer","JPMorganChase","Bengaluru","2024-12-05","",6
"https://www.glassdoor.co.in/job-listing/j?jl=1009553855534","Software Engineer Trainee - Gen AI","thoughtminds","Cochin","2024-12-05","",7
"https://www.glassdoor.co.in/job-listing/j?jl=1009554087024","Functional Testing/Software Engineer","HSBC","Pune","2024-12-05","",8
"https://www.glassdoor.co.in/job-listing/j?jl=1009553933866","Principal Software Engineer","Mastercard","Pune","2024-12-05","",9
"https://www.glassdoor.co.in/job-listing/j?jl=1009553916436","Software Engineer, II","Zebra Technologies","Bengaluru","2024-12-05","",10
"https://www.glassdoor.co.in/job-listing/j?jl=1009553934848","Software Engineer","HOTBIT INFOTECH PVT LTD","India","2024-12-05","",11
"https://www.glassdoor.co.in/job-listing/j?jl=1009554069629","Software Engineer","Wipro Limited","Chennai","2024-12-05","",12
"https://www.glassdoor.co.in/job-listing/j?jl=1009554130457","Software Engineer C++ (100% Remote - India)","Tether Operations Limited","","2024-12-05","",13
"https://www.glassdoor.co.in/job-listing/j?jl=1009553101223","Software Research Engineer/Scientist","INTEL","Bengaluru","2024-12-05","",14
"https://www.glassdoor.co.in/job-listing/j?jl=1009553936323","Junior Software Engineer","IBIL Solutions Pvt Ltd","Thiruvananthapuram","2024-12-05","",15
"https://www.glassdoor.co.in/job-listing/j?jl=1009553558547","Developer","Wipro Limited","Hyderābād","2024-12-05","",16
"https://www.glassdoor.co.in/job-listing/j?jl=1009553944785","Software Developer Trainee (Fresher)","codelogicx technologies","","2024-12-05","",17
"https://www.glassdoor.co.in/job-listing/j?jl=1009554057259","Trainee Software Engineer","Owens & Minor India Private Limited","Pune","2024-12-05","",18
"https://www.glassdoor.co.in/job-listing/j?jl=1009554028367","Software Engineer","Envisage IS","Hyderābād","2024-12-05","",19
"https://www.glassdoor.co.in/job-listing/j?jl=1009553913046","Frontend Engineer","Pixxel","Bengaluru","2024-12-05","",20
"https://www.glassdoor.co.in/job-listing/j?jl=1009552734747","Engineer Sr., Software","Giant Eagle GCC","","2024-12-05","",21
"https://www.glassdoor.co.in/job-listing/j?jl=1009552924565","Software Engineer II","Wayfair","Bengaluru","2024-12-05","",22
"https://www.glassdoor.co.in/job-listing/j?jl=1009553746206","Software Developer","Ericsson","Noida","2024-12-05","",23
"https://www.glassdoor.co.in/job-listing/j?jl=1009554110707","Software Maintenance Engineer - Openshift","Red Hat, Inc.","Pune","2024-12-05","",24
"https://www.glassdoor.co.in/job-listing/j?jl=1009554118474","Software Engineer","Ford Motor Company","Chennai","2024-12-05","",25
"https://www.glassdoor.co.in/job-listing/j?jl=1009553983704","Senior Software Engineer","Optum","Hyderābād","2024-12-05","",26
"https://www.glassdoor.co.in/job-listing/j?jl=1009206495098","Director, Software Engineering","Dell","Bengaluru","2024-12-05","",27
"https://www.glassdoor.co.in/job-listing/j?jl=1009552812253","Software Engineer II - Hadoop, Spark with Python, SQL, Tableau / PowerBI","Mastercard","Pune","2024-12-05","",28
"https://www.glassdoor.co.in/job-listing/j?jl=1009553914108","UI/UX Developer","RAJPUT GAURAV AYODHYASINH","Gāndhīnagar","2024-12-05","",29
"https://www.glassdoor.co.in/job-listing/j?jl=1009553247033","Informatica Developer","Wipro Limited","Hyderābād","2024-12-05","",30
"https://www.glassdoor.co.in/job-listing/j?jl=1009553671178","Software Development Engineer 2","Amadeus","Bengaluru","2024-12-05","",31
"https://www.glassdoor.co.in/job-listing/j?jl=1009553556990","Software Engineer","NatWest Digital X","Gurgaon","2024-12-05","",32
"https://www.glassdoor.co.in/job-listing/j?jl=1009554088618","Software Engineer II","Microsoft","Hyderābād","2024-12-05","",33
"https://www.glassdoor.co.in/job-listing/j?jl=1009553689219","Associate Software Engineer II","Anthology, Inc.","Chennai","2024-12-05","",34
